state,city,number,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source
Alabama,Montgomery,22,32.356988,-86.257817,1,place,,,Montgomery,AL,Montgomery County,36101,US,TIGER/Line® dataset from the US Census Bureau
Arizona,Phoenix,1,33.703967,-112.351835,1,place,,,Phoenix,AZ,Maricopa County,85001,US,TIGER/Line® dataset from the US Census Bureau
Arkansas,Little Rock,0,34.746905,-92.280049,1,place,,,Little Rock,AR,Pulaski County,72201,US,TIGER/Line® dataset from the US Census Bureau
California,Sacramento,14,38.380456,-121.555406,1,place,,,Sacramento,CA,Sacramento County,94203,US,TIGER/Line® dataset from the US Census Bureau
Colorado,Denver,1,39.726303,-104.856808,1,place,,,Denver,CO,Denver County,80201,US,TIGER/Line® dataset from the US Census Bureau
Connecticut,Hartford,0,41.78007,-72.677099,1,place,,,Hartford,CT,Hartford County,6101,US,TIGER/Line® dataset from the US Census Bureau
Delaware,Dover,0,39.156376,-75.49549,1,place,,,Dover,DE,Kent County,19901,US,TIGER/Line® dataset from the US Census Bureau
District of Columbia,Washington D.C,0,38.911936,-77.016719,1,place,,,Washington,DC,District of Columbia,20001,US,TIGER/Line® dataset from the US Census Bureau
Florida,Tallahassee,47,30.427753,-84.258472,1,place,,,Tallahassee,FL,Leon County,32301,US,TIGER/Line® dataset from the US Census Bureau
Georgia,Atlanta,9,33.844371,-84.47405,1,place,,,Atlanta,GA,Fulton County,30301,US,TIGER/Line® dataset from the US Census Bureau
Idaho,Boise,0,43.603768,-116.272921,1,place,,,Boise,ID,Ada County,83701,US,TIGER/Line® dataset from the US Census Bureau
Illinois,Springfield,4,39.800698,-89.648801,1,place,,,Springfield,IL,Sangamon County,62701,US,TIGER/Line® dataset from the US Census Bureau
Indiana,Indianapolis,1,39.775092,-86.13216,1,place,,,Indianapolis,IN,Marion County,46201,US,TIGER/Line® dataset from the US Census Bureau
Iowa,Des Moines,0,41.672687,-93.572173,1,place,,,Des Moines,IA,Polk County,50301,US,TIGER/Line® dataset from the US Census Bureau
Kansas,Topeka,1,38.988075,-95.780662,1,place,,,Topeka,KS,Shawnee County,66601,US,TIGER/Line® dataset from the US Census Bureau
Kentucky,Frankfort,1,38.228115,-84.869708,1,place,,,Frankfort,KY,Franklin County,40601,US,TIGER/Line® dataset from the US Census Bureau
Louisiana,Baton Rouge,0,30.44924,-91.185607,1,place,,,Baton Rouge,LA,East Baton Rouge Parish,70801,US,TIGER/Line® dataset from the US Census Bureau
Maine,Augusta,0,44.351642,-69.803773,1,place,,,Augusta,ME,Kennebec County,4330,US,TIGER/Line® dataset from the US Census Bureau
Maryland,Annapolis,3,38.98775,-76.5528,1,place,,,Annapolis,MD,Anne Arundel County,21401,US,TIGER/Line® dataset from the US Census Bureau
Massachusetts,Boston,1,42.370567,-71.026964,1,place,,,Boston,MA,Suffolk County,2101,US,TIGER/Line® dataset from the US Census Bureau
Michigan,Lansing,8,42.599184,-84.371973,1,place,,,Lansing,MI,Ingham County,48901,US,TIGER/Line® dataset from the US Census Bureau
Minnesota,Minneapolis,0,44.984577,-93.269097,1,place,,,Minneapolis,MN,Hennepin County,55401,US,TIGER/Line® dataset from the US Census Bureau
Mississippi,Jackson,3,32.289656,-90.184201,1,place,,,Jackson,MS,Hinds County,39201,US,TIGER/Line® dataset from the US Census Bureau
Missouri,Jefferson City,2,38.494029,-92.165194,1,place,,,Jefferson City,MO,Cole County,65101,US,TIGER/Line® dataset from the US Census Bureau
Montana,Helena,0,46.527398,-112.21037,1,place,,,Helena,MT,Lewis and Clark County,59601,US,TIGER/Line® dataset from the US Census Bureau
